City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Manggar,ID,80.94,moderate rain,-2.88,108.27,Guest Hotel
4,Puerto Ayora,EC,78.8,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
7,Avarua,CK,75.2,light rain,-21.21,-159.78,Paradise Inn
9,Hilo,US,82.4,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
11,Eyl,SO,78.37,broken clouds,7.98,49.82,Amiin Hotel
17,West Bay,KY,80.6,broken clouds,19.37,-81.42,Calypso Cove
18,Anton Lizardo,MX,89.6,scattered clouds,19.05,-95.98,Hotel CocoAventura
20,Atuona,PF,78.93,clear sky,-9.8,-139.03,Villa Enata
24,Auki,SB,79.36,overcast clouds,-8.77,160.7,Auki Motel
25,Hobyo,SO,79.86,clear sky,5.35,48.53,Osmani Hotel
26,Bambous Virieux,MU,75.2,shower rain,-20.34,57.76,Casa Tia Villa
28,Sarangani,PH,82.94,overcast clouds,5.4,125.46,Ballistic Islet
33,Destin,US,82.4,scattered clouds,30.39,-86.5,Inn On Destin Harbor
38,Kavieng,PG,81.82,light rain,-2.57,150.8,Nusa Island Retreat
45,Santa Maria,BR,86.67,overcast clouds,-29.68,-53.81,Hotel Morotin
46,Dingle,PH,75.29,heavy intensity rain,11.0,122.67,Camp Pasica
49,Merauke,ID,77.11,broken clouds,-8.47,140.33,
50,Kota Belud,MY,75.2,scattered clouds,6.35,116.43,Tang Dynasty Lodge Kota Belud
55,Muscat,OM,75.2,clear sky,23.61,58.59,Mutrah Hotel
59,Luwuk,ID,77.09,overcast clouds,-0.95,122.79,Hotel Santika Luwuk
63,Sao Gabriel Da Cachoeira,BR,89.49,overcast clouds,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
68,Umm Lajj,SA,79.61,clear sky,25.02,37.27,Moon light Furnished Units
75,Butaritari,KI,81.09,broken clouds,3.07,172.79,Isles Sunset Lodge
76,Georgetown,MY,77.0,scattered clouds,5.41,100.34,Cititel Penang
77,Kapaa,US,82.99,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
81,Mahebourg,MU,75.2,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
87,Porto Novo,BJ,80.6,thunderstorm,6.5,2.6,Tour Eiffel Hotel Benin
93,Bandarbeyla,SO,76.24,clear sky,9.49,50.81,REER XOOSHLE GROUP
102,Avera,US,81.0,overcast clouds,33.19,-82.53,
113,Rosetta,EG,77.0,scattered clouds,31.4,30.42,Green Valley
116,Banjar,ID,78.8,few clouds,-8.19,114.97,The Hamsa Resort
126,Tucupita,VE,84.42,overcast clouds,9.06,-62.05,Hotel Tucupita Su​ite C.A.
128,Hambantota,LK,78.8,overcast clouds,6.12,81.12,Bungalow 63
137,Faanui,PF,80.02,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
139,Hithadhoo,MV,82.98,scattered clouds,-0.6,73.08,Scoop Guest House
143,Tautira,PF,82.4,shower rain,-17.73,-149.15,Pension Oaoa
144,San Patricio,US,84.0,broken clouds,28.02,-97.52,"Motel 6 Sinton, TX"
151,Pauini,BR,79.92,overcast clouds,-7.71,-66.98,Casa do Kiwliks
154,Elat,IL,82.4,clear sky,29.56,34.95,Club Hotel Eilat
155,Coahuayana,MX,84.2,few clouds,18.73,-103.68,Hotel Los Arcos
156,Taoudenni,ML,88.47,clear sky,22.68,-3.98,
159,Yaan,NG,76.77,overcast clouds,7.38,8.57,
162,Safaga,EG,78.8,clear sky,26.73,33.94,Lamar Resort Abu Soma
167,Tahoua,NE,86.65,clear sky,14.89,5.27,Bungalows Guesthouse
170,Bol,TD,84.43,clear sky,13.46,14.71,Hotel 3 Etoiles
172,Kahului,US,87.8,few clouds,20.89,-156.47,Maui Seaside Hotel
173,Meulaboh,ID,76.24,overcast clouds,4.14,96.13,Kost Pria
177,Kolokani,ML,80.69,clear sky,13.57,-8.03,Lycee Famolo Coulibalibali De Kolokani
181,Alofi,NU,75.69,light rain,-19.06,-169.92,Taloa Heights
185,San Cristobal,VE,86.0,scattered clouds,7.77,-72.22,Pirineos
188,Sechura,PE,75.36,overcast clouds,-5.56,-80.82,Hospedaje Costa Bella
191,Sao Filipe,CV,83.1,overcast clouds,14.9,-24.5,Tortuga B&B
193,Palm Coast,US,84.99,clear sky,29.59,-81.21,Hammock Beach Golf Resort & Spa
199,Sola,VU,79.83,clear sky,-13.88,167.55,Ulkel Guest House
203,Sibu,MY,75.2,scattered clouds,2.3,111.82,RH HOTEL (4 Star)
205,Sorong,ID,78.58,overcast clouds,-0.88,131.25,The Waigo Hotel
209,Doha,QA,82.4,clear sky,25.29,51.53,Doha Marriott Hotel
219,Kendari,ID,75.49,overcast clouds,-3.94,122.5,Hotel Wixel
