City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Manggar,ID,-2.88,108.27,80.94,81,100,6.31,moderate rain
1,Busselton,AU,-33.65,115.33,55.0,65,0,0.43,clear sky
2,Punta Arenas,CL,-53.15,-70.92,44.6,81,40,8.05,scattered clouds
3,Riyadh,SA,24.69,46.72,69.8,35,0,6.17,clear sky
4,Puerto Ayora,EC,-0.74,-90.35,78.8,69,40,20.8,scattered clouds
5,Kodiak,US,57.79,-152.41,48.2,87,90,17.22,mist
6,Sioux Lookout,CA,50.1,-91.92,26.6,58,75,6.93,broken clouds
7,Avarua,CK,-21.21,-159.78,75.2,73,49,11.41,light rain
8,Phonhong,LA,18.5,102.42,72.41,79,93,1.63,overcast clouds
9,Hilo,US,19.73,-155.09,82.4,74,40,5.82,scattered clouds
10,Qaanaaq,GL,77.48,-69.36,12.72,80,100,12.08,overcast clouds
11,Eyl,SO,7.98,49.82,78.37,69,54,10.0,broken clouds
12,Palmares Do Sul,BR,-30.26,-50.51,73.42,75,0,21.36,clear sky
13,Upernavik,GL,72.79,-56.15,13.87,76,63,4.18,broken clouds
14,Chuy,UY,-33.7,-53.46,71.56,79,100,15.39,overcast clouds
15,Lugazi,UG,0.38,32.92,69.8,83,20,8.05,few clouds
16,Vaini,TO,-21.2,-175.2,71.6,94,90,10.29,light intensity shower rain
17,West Bay,KY,19.37,-81.42,80.6,88,75,16.11,broken clouds
18,Anton Lizardo,MX,19.05,-95.98,89.6,55,40,4.7,scattered clouds
19,Alta Floresta,BR,-9.88,-56.09,91.65,43,100,2.64,overcast clouds
20,Atuona,PF,-9.8,-139.03,78.93,74,0,20.0,clear sky
21,Albany,US,42.6,-73.97,50.0,41,0,5.39,clear sky
22,Cape Town,ZA,-33.93,18.42,63.0,82,20,16.11,few clouds
23,La Fleche,FR,47.7,-0.08,48.99,93,0,5.82,clear sky
24,Auki,SB,-8.77,160.7,79.36,80,98,2.68,overcast clouds
25,Hobyo,SO,5.35,48.53,79.86,81,0,10.58,clear sky
26,Bambous Virieux,MU,-20.34,57.76,75.2,73,75,14.99,shower rain
27,Bluff,NZ,-46.6,168.33,46.99,97,36,8.86,scattered clouds
28,Sarangani,PH,5.4,125.46,82.94,76,100,13.87,overcast clouds
29,Lisakovsk,KZ,52.54,62.49,50.04,89,100,13.27,light rain
30,Ihosy,MG,-22.4,46.12,64.85,82,100,2.42,heavy intensity rain
31,Baruun-Urt,MN,46.68,113.28,34.18,78,0,10.51,clear sky
32,Eirunepe,BR,-6.66,-69.87,94.14,45,85,2.57,overcast clouds
33,Destin,US,30.39,-86.5,82.4,65,40,4.7,scattered clouds
34,Honiara,SB,-9.43,159.95,73.4,100,75,3.36,broken clouds
35,Ribeira Grande,PT,38.52,-28.7,66.2,77,75,3.36,broken clouds
36,Mataura,NZ,-46.19,168.86,46.99,97,99,2.15,overcast clouds
37,Ancud,CL,-41.87,-73.82,57.0,54,75,16.11,broken clouds
38,Kavieng,PG,-2.57,150.8,81.82,74,100,1.81,light rain
39,Hamilton,US,39.18,-84.53,54.0,66,90,10.29,overcast clouds
40,Komsomolskiy,UZ,40.43,71.72,46.4,52,0,6.93,clear sky
41,Shuyskoye,RU,59.37,41.03,33.48,92,79,5.64,broken clouds
42,Talcahuano,CL,-36.72,-73.12,60.8,51,0,14.99,clear sky
43,Port-Cartier,CA,50.03,-66.87,37.0,43,75,11.41,broken clouds
44,Tuktoyaktuk,CA,69.45,-133.04,23.0,92,90,23.04,light snow
45,Santa Maria,BR,-29.68,-53.81,86.67,55,99,3.76,overcast clouds
46,Dingle,PH,11.0,122.67,75.29,92,100,18.3,heavy intensity rain
47,Jamestown,US,42.1,-79.24,46.0,63,90,10.29,overcast clouds
48,Puertollano,ES,38.69,-4.11,60.01,78,100,8.99,overcast clouds
49,Merauke,ID,-8.47,140.33,77.11,84,76,9.37,broken clouds
50,Kota Belud,MY,6.35,116.43,75.2,94,40,3.36,scattered clouds
51,Constitucion,CL,-35.33,-72.42,59.34,56,0,19.04,clear sky
52,Norman Wells,CA,65.28,-126.83,21.2,92,75,8.37,light snow
53,Carbonia,IT,39.17,8.52,64.0,93,20,3.36,few clouds
54,Tasiilaq,GL,65.61,-37.64,32.0,98,100,1.12,overcast clouds
55,Muscat,OM,23.61,58.59,75.2,69,0,2.24,clear sky
56,Rikitea,PF,-23.12,-134.97,73.81,80,100,19.08,overcast clouds
57,Dalgopol,BG,43.05,27.35,64.4,88,75,5.82,broken clouds
58,Dikson,RU,73.51,80.55,18.12,97,100,13.71,overcast clouds
59,Luwuk,ID,-0.95,122.79,77.09,71,100,4.07,overcast clouds
60,Victoria,HK,22.29,114.16,75.0,81,100,1.99,overcast clouds
61,Mount Isa,AU,-20.73,139.5,69.8,32,100,13.87,overcast clouds
62,Flin Flon,CA,54.77,-101.86,26.6,58,90,10.29,light snow
63,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,89.49,61,100,0.36,overcast clouds
64,New Norfolk,AU,-42.78,147.06,41.0,71,3,1.77,clear sky
65,Hobart,AU,-42.88,147.33,44.6,81,75,6.93,broken clouds
66,Kruisfontein,ZA,-34.0,24.73,62.01,90,100,10.67,light rain
67,Dullewala,PK,31.84,71.44,71.83,29,0,7.92,clear sky
68,Umm Lajj,SA,25.02,37.27,79.61,58,0,5.55,clear sky
69,Marawi,PH,8.0,124.29,73.99,92,100,4.0,overcast clouds
