City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dikson,RU,2020-10-25 02:57:45,73.51,80.55,21.87,92,38,6.58
1,Alofi,NU,2020-10-25 02:59:00,-19.06,-169.92,80.6,78,94,17.22
2,Rikitea,PF,2020-10-25 02:57:26,-23.12,-134.97,74.88,82,97,20.71
3,Nantucket,US,2020-10-25 02:58:25,41.28,-70.1,57.99,85,90,17.22
4,Arraial Do Cabo,BR,2020-10-25 02:58:05,-22.97,-42.03,69.98,92,100,21.94
5,Chibuto,MZ,2020-10-25 03:02:55,-24.69,33.53,64.18,99,3,1.36
6,Hilo,US,2020-10-25 03:02:24,19.73,-155.09,82.4,69,75,12.75
7,Ilulissat,GL,2020-10-25 02:59:16,69.22,-51.1,19.4,57,3,6.93
8,Ossora,RU,2020-10-25 03:02:55,59.24,163.07,41.47,82,100,10.11
9,Atuona,PF,2020-10-25 03:02:55,-9.8,-139.03,78.66,75,30,20.56
10,East London,ZA,2020-10-25 03:02:56,-33.02,27.91,68.43,89,30,5.37
11,Mahebourg,MU,2020-10-25 03:02:56,-20.41,57.7,69.8,88,75,12.75
12,Bluff,NZ,2020-10-25 03:02:56,-46.6,168.33,59.0,87,95,15.99
13,Tuktoyaktuk,CA,2020-10-25 03:02:56,69.45,-133.04,23.0,79,75,18.34
14,Buala,SB,2020-10-25 03:02:57,-8.14,159.59,85.37,71,52,5.1
15,Yenagoa,NG,2020-10-25 03:00:55,4.92,6.26,75.04,93,100,2.35
16,Brigantine,US,2020-10-25 03:02:57,39.41,-74.36,57.2,67,1,8.05
17,Vaini,TO,2020-10-25 02:57:39,-21.2,-175.2,73.4,88,75,12.75
18,Kruisfontein,ZA,2020-10-25 02:56:45,-34.0,24.73,57.99,93,0,6.87
19,Punta Arenas,CL,2020-10-25 02:53:09,-53.15,-70.92,41.0,100,90,11.41
20,Hobart,AU,2020-10-25 02:57:04,-42.88,147.33,60.01,43,40,17.22
21,Vao,NC,2020-10-25 02:58:23,-22.67,167.48,73.56,79,83,15.77
22,Kapaa,US,2020-10-25 02:57:32,22.08,-159.32,82.4,69,40,14.99
23,Sao Joao Da Barra,BR,2020-10-25 02:59:18,-21.64,-41.05,72.48,92,100,16.91
24,Geraldton,AU,2020-10-25 02:58:16,-28.77,114.6,95.0,13,0,17.22
25,Linhares,BR,2020-10-25 03:02:59,-19.39,-40.07,71.01,96,100,6.06
26,Iqaluit,CA,2020-10-25 02:58:06,63.75,-68.51,21.2,79,75,3.36
27,Busselton,AU,2020-10-25 02:57:27,-33.65,115.33,75.99,45,74,5.01
28,Cape Town,ZA,2020-10-25 02:54:42,-33.93,18.42,60.01,82,75,3.36
29,Bredasdorp,ZA,2020-10-25 02:57:21,-34.53,20.04,61.0,83,28,1.01
30,Hermanus,ZA,2020-10-25 02:54:06,-34.42,19.23,61.0,83,56,1.01
31,Ushuaia,AR,2020-10-25 02:59:01,-54.8,-68.3,44.6,65,75,17.22
32,Rocha,UY,2020-10-25 02:58:03,-34.48,-54.33,58.71,97,24,4.27
33,Harper,LR,2020-10-25 02:59:25,4.38,-7.72,77.05,89,44,6.55
34,Bellevue,US,2020-10-25 03:01:46,47.61,-122.2,44.6,52,75,3.36
35,Makakilo City,US,2020-10-25 02:54:45,21.35,-158.09,84.2,66,1,5.82
36,Barrow,US,2020-10-25 02:57:55,71.29,-156.79,30.2,86,90,19.46
37,Cidreira,BR,2020-10-25 02:58:00,-30.18,-50.21,68.59,93,17,15.93
38,Soure,BR,2020-10-25 03:03:01,-0.72,-48.52,80.1,83,2,10.33
39,Bilma,NE,2020-10-25 02:59:18,18.69,12.92,70.5,23,0,14.81
40,Ust-Tsilma,RU,2020-10-25 03:03:02,65.44,52.15,25.25,98,100,4.09
41,Punta De Bombon,PE,2020-10-25 03:03:02,-17.17,-71.79,62.89,78,74,4.25
42,New Norfolk,AU,2020-10-25 02:57:24,-42.78,147.06,59.0,45,73,1.01
43,Carbonear,CA,2020-10-25 03:03:02,47.73,-53.21,51.01,100,90,17.22
44,Solnechnyy,RU,2020-10-25 03:00:48,50.72,136.63,37.47,88,99,16.51
45,Dingle,PH,2020-10-25 02:58:24,11.0,122.67,81.52,81,100,0.0
46,Mataura,NZ,2020-10-25 02:57:28,-46.19,168.86,59.0,83,93,18.99
47,Faanui,PF,2020-10-25 02:57:52,-16.48,-151.75,79.39,76,98,11.14
48,Hithadhoo,MV,2020-10-25 02:57:57,-0.6,73.08,83.28,74,30,9.04
49,Husavik,IS,2020-10-25 02:58:54,66.04,-17.34,41.0,80,90,19.46
50,Tiksi,RU,2020-10-25 02:57:22,71.69,128.87,10.17,91,100,27.58
51,Maragogi,BR,2020-10-25 03:03:04,-9.01,-35.22,75.67,82,31,7.23
52,Touros,BR,2020-10-25 02:59:14,-5.2,-35.46,75.2,94,40,3.36
53,Fortuna,US,2020-10-25 02:57:43,40.6,-124.16,51.01,87,90,8.05
54,Bengkulu,ID,2020-10-25 02:58:57,-3.8,102.27,84.43,63,99,3.33
55,Gimli,CA,2020-10-25 03:00:52,50.63,-96.99,27.0,98,40,4.0
56,Afonso Bezerra,BR,2020-10-25 03:03:06,-5.5,-36.51,74.89,80,9,12.93
57,Butaritari,KI,2020-10-25 02:57:50,3.07,172.79,81.14,68,89,6.58
58,Tasiilaq,GL,2020-10-25 02:58:02,65.61,-37.64,33.8,69,70,5.03
59,Albany,US,2020-10-25 02:52:30,42.6,-73.97,46.0,68,61,6.71
60,Saint-Pierre,RE,2020-10-25 02:59:27,-21.34,55.48,68.0,52,0,5.82
61,Ancud,CL,2020-10-25 02:58:13,-41.87,-73.82,44.01,100,1,5.82
62,Torbay,CA,2020-10-25 02:58:19,47.67,-52.73,51.01,100,90,17.22
63,Norman Wells,CA,2020-10-25 02:57:29,65.28,-126.83,17.6,92,75,3.36
64,Mount Gambier,AU,2020-10-25 02:58:09,-37.83,140.77,55.4,58,90,20.8
65,High Level,CA,2020-10-25 02:59:49,58.52,-117.14,21.2,67,5,4.45
66,Pangody,RU,2020-10-25 03:03:08,65.85,74.49,11.5,95,4,8.03
67,Sulangan,PH,2020-10-25 03:03:08,11.14,123.72,81.1,83,100,17.49
68,Sao Filipe,CV,2020-10-25 02:57:59,14.9,-24.5,81.27,71,100,4.88
69,San Quintin,MX,2020-10-25 03:00:17,30.48,-115.95,64.38,83,100,8.81
70,Codrington,AU,2020-10-25 02:57:38,-38.27,141.97,52.61,65,79,23.35
71,Kavieng,PG,2020-10-25 02:57:36,-2.57,150.8,85.1,67,34,2.84
72,Bumba,CD,2020-10-25 03:03:09,2.18,22.47,72.16,97,100,1.3
73,Mackay,AU,2020-10-25 03:01:08,-21.15,149.2,84.2,66,9,17.22
74,Naze,JP,2020-10-25 02:56:58,28.37,129.48,75.2,53,20,12.75
75,Sheopur,IN,2020-10-25 03:03:10,25.67,76.7,76.89,38,0,4.07
76,Fort Nelson,CA,2020-10-25 02:58:01,58.81,-122.7,24.8,53,40,3.36
77,Tura,IN,2020-10-25 02:58:20,25.52,90.22,75.27,93,38,5.79
78,Saint George,US,2020-10-25 02:57:37,37.1,-113.58,73.4,33,53,0.36
